perfil_id,escolaridade_numero,escolaridade,area,duracao
0,4,Pós Graduação,Gestão Empresarial,1.0
1,4,Pós Graduação,Gestão Empresarial,1.0
2,3,Superior,TI,4.0
3,3,Superior,Engenharia,6.0
4,3,Superior,Engenharia,6.0
5,4,Pós Graduação,Gestão Empresarial,1.0
6,4,Pós Graduação,TI,7.0
7,1,Ensino Médio,Gestão Empresarial,4.0
8,4,Pós Graduação,Gestão Empresarial,1.0
9,4,Pós Graduação,Gestão Empresarial,1.0
10,3,Superior,Engenharia,11.0
11,3,Superior,Comunicação e Marketing,5.0
12,3,Superior,Engenharia,6.0
13,3,Superior,Comunicação e Marketing,5.0
14,4,Pós Graduação,Gestão Empresarial,1.0
15,3,Superior,Gestão Empresarial,5.0
16,4,Pós Graduação,Gestão Empresarial,3.0
17,4,Pós Graduação,Design,2.0
18,4,Pós Graduação,Gestão Empresarial,3.0
19,3,Superior,Engenharia,5.0
20,3,Superior,Gestão Empresarial,4.0
21,3,Superior,Engenharia,5.0
22,4,Pós Graduação,Gestão Empresarial,2.0
23,3,Superior,Engenharia,6.0
24,4,Pós Graduação,TI,3.0
25,3,Superior,Engenharia,6.0
26,3,Superior,Comunicação e Marketing,5.0
27,3,Superior,Comunicação e Marketing,5.0
28,3,Superior,Comunicação e Marketing,6.0
29,4,Pós Graduação,TI,3.0
30,3,Superior,Engenharia,7.0
31,3,Superior,TI,5.0
32,3,Superior,Gestão Empresarial,3.0
33,4,Pós Graduação,TI,2.0
34,4,Pós Graduação,TI,4.0
35,4,Pós Graduação,TI,5.0
36,3,Superior,Engenharia,5.0
37,3,Superior,TI,5.0
38,3,Superior,TI,4.0
39,4,Pós Graduação,Gestão Empresarial,1.0
40,4,Pós Graduação,TI,2.0
41,3,Superior,Gestão Empresarial,5.0
42,4,Pós Graduação,Comunicação e Marketing,1.0
43,3,Superior,Gestão Empresarial,5.0
44,3,Superior,TI,4.0
45,3,Superior,TI,1.0
46,4,Pós Graduação,TI,1.0
47,3,Superior,RH,6.0
48,4,Pós Graduação,RH,3.0
49,4,Pós Graduação,TI,4.0
50,4,Pós Graduação,Comunicação e Marketing,2.0
51,3,Superior,Gestão Empresarial,5.0
52,3,Superior,TI,5.0
53,3,Superior,Comunicação e Marketing,5.0
54,3,Superior,Gestão Empresarial,4.0
55,3,Superior,Comunicação e Marketing,4.0
56,3,Superior,Comunicação e Marketing,4.0
57,3,Superior,TI,4.0
58,3,Superior,RH,2.0
59,3,Superior,Gestão Empresarial,5.0
60,3,Superior,TI,2.0
61,3,Superior,Engenharia,2.0
62,4,Pós Graduação,Comunicação e Marketing,2.0
63,4,Pós Graduação,TI,2.0
64,4,Pós Graduação,RH,2.0
65,4,Pós Graduação,RH,2.0
66,4,Pós Graduação,Gestão Empresarial,2.0
67,4,Pós Graduação,Comunicação e Marketing,2.0
68,3,Superior,Gestão Empresarial,4.0
69,3,Superior,Comunicação e Marketing,4.0
70,3,Superior,TI,5.0
71,3,Superior,Comunicação e Marketing,5.0
72,4,Pós Graduação,Comunicação e Marketing,6.0
73,3,Superior,TI,4.0
74,3,Superior,Gestão Empresarial,5.0
75,4,Pós Graduação,Gestão Empresarial,1.0
76,4,Pós Graduação,Gestão Empresarial,2.0
77,4,Pós Graduação,Comunicação e Marketing,3.0
78,3,Superior,Comunicação e Marketing,5.0
79,4,Pós Graduação,TI,3.0
80,3,Superior,Engenharia,6.0
81,4,Pós Graduação,TI,2.0
82,3,Superior,TI,5.0
83,3,Superior,TI,4.0
84,3,Superior,TI,5.0
85,3,Superior,Engenharia,6.0
86,4,Pós Graduação,TI,3.0
87,4,Pós Graduação,TI,2.0
88,3,Superior,TI,5.0
89,3,Superior,Engenharia,6.0
90,4,Pós Graduação,TI,1.0
91,4,Pós Graduação,Comunicação e Marketing,1.0
92,3,Superior,Comunicação e Marketing,5.0
93,4,Pós Graduação,Gestão Empresarial,0.0
94,4,Pós Graduação,Gestão Empresarial,2.0
95,3,Superior,Engenharia,2.0
96,3,Superior,Engenharia,6.0
97,4,Pós Graduação,Comunicação e Marketing,1.0
98,4,Pós Graduação,Engenharia,1.0
99,4,Pós Graduação,Gestão Empresarial,3.0
100,4,Pós Graduação,Comunicação e Marketing,2.0
101,3,Superior,RH,1.0
102,3,Superior,Gestão Empresarial,4.0
103,4,Pós Graduação,Comunicação e Marketing,2.0
104,4,Pós Graduação,Comunicação e Marketing,2.0
105,3,Superior,TI,5.0
106,3,Superior,Gestão Empresarial,3.0
107,3,Superior,Gestão Empresarial,5.0
108,3,Superior,Jurídico,10.0
109,4,Pós Graduação,Comunicação e Marketing,2.0
110,3,Superior,TI,5.0
